,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color,year,DEM_Rate,REP_Rate,Metro_DEM_Votes,Metro_REP_Votes,Metro_DEM_Rate,Metro_REP_Rate,Race,2016,2020,% increase,fact,Arizona,Georgia,South Carolina
11311,Oklahoma,Cherokee County,Donald Trump,REP,11223,TRUE,40021,OK,23863,24736,35.1,48599,50.89816663,35.90659476,-94.99967081,red,,,,,,,,,,,,,,,
11317,Oklahoma,Choctaw County,Donald Trump,REP,4698,TRUE,40023,OK,7170,7716,42,14886,51.83393793,34.02659897,-95.55215862,red,,,,,,,,,,,,,,,
11323,Oklahoma,Cimarron County,Donald Trump,REP,970,TRUE,40025,OK,1095,1094,43,2189,49.97715852,36.74826238,-102.5177452,red,,,,,,,,,,,,,,,
11329,Oklahoma,Cleveland County,Donald Trump,REP,66677,TRUE,40027,OK,138143,138590,33.9,276733,50.08076377,35.20304365,-97.32641881,red,,,,,,,,,,,,,,,
11335,Oklahoma,Coal County,Donald Trump,REP,2091,TRUE,40029,OK,2818,2800,41.6,5618,49.83980064,34.58821863,-96.29782654,red,,,,,,,,,,,,,,,
11341,Oklahoma,Comanche County,Donald Trump,REP,20905,TRUE,40031,OK,63585,58976,33,122561,48.11971182,34.66209885,-98.47166167,red,,,,,,,,,,,,,,,
11347,Oklahoma,Cotton County,Donald Trump,REP,2117,TRUE,40033,OK,2984,2945,42.9,5929,49.67110811,34.29016491,-98.3722153,red,,,,,,,,,,,,,,,
11353,Oklahoma,Craig County,Donald Trump,REP,4686,TRUE,40035,OK,7394,7099,42.3,14493,48.9822673,36.76172543,-95.20848408,red,,,,,,,,,,,,,,,
11359,Oklahoma,Creek County,Donald Trump,REP,23294,TRUE,40037,OK,35189,35971,40.2,71160,50.54946599,35.90268123,-96.37095051,red,,,,,,,,,,,,,,,
11365,Oklahoma,Custer County,Donald Trump,REP,8060,TRUE,40039,OK,14413,14796,31,29209,50.65561984,35.63888326,-99.00149222,red,,,,,,,,,,,,,,,
11371,Oklahoma,Delaware County,Donald Trump,REP,13557,TRUE,40041,OK,20756,21356,46.7,42112,50.71238602,36.40819978,-94.80264841,red,,,,,,,,,,,,,,,
11377,Oklahoma,Dewey County,Donald Trump,REP,2124,TRUE,40043,OK,2449,2469,40.2,4918,50.20333469,35.98768313,-99.00790941,red,,,,,,,,,,,,,,,
11383,Oklahoma,Ellis County,Donald Trump,REP,1688,TRUE,40045,OK,1954,2118,44.1,4072,52.01375246,36.21836446,-99.75463794,red,,,,,,,,,,,,,,,
11389,Oklahoma,Garfield County,Donald Trump,REP,16970,TRUE,40047,OK,31003,31187,36,62190,50.14793375,36.37905747,-97.78272302,red,,,,,,,,,,,,,,,
11395,Oklahoma,Garvin County,Donald Trump,REP,8878,TRUE,40049,OK,13807,14016,39.2,27823,50.37558854,34.70456251,-97.3093234,red,,,,,,,,,,,,,,,
11401,Oklahoma,Grady County,Donald Trump,REP,18538,TRUE,40051,OK,27348,27385,38.9,54733,50.03380045,35.01694168,-97.88411648,red,,,,,,,,,,,,,,,
11407,Oklahoma,Grant County,Donald Trump,REP,1916,TRUE,40053,OK,2240,2178,43.3,4418,49.29832503,36.79613981,-97.78613156,red,,,,,,,,,,,,,,,
11413,Oklahoma,Greer County,Donald Trump,REP,1605,TRUE,40055,OK,3419,2524,41.2,5943,42.47013293,34.93570494,-99.56081477,red,,,,,,,,,,,,,,,
11419,Oklahoma,Harmon County,Donald Trump,REP,747,TRUE,40057,OK,1299,1422,41,2721,52.26019846,34.7441062,-99.84627188,red,,,,,,,,,,,,,,,
11425,Oklahoma,Harper County,Donald Trump,REP,1327,TRUE,40059,OK,1887,1960,38,3847,50.94879127,36.78870095,-99.66735662,red,,,,,,,,,,,,,,,
11431,Oklahoma,Haskell County,Donald Trump,REP,4165,TRUE,40061,OK,6311,6393,40.6,12704,50.322733,35.22484642,-95.11657786,red,,,,,,,,,,,,,,,
11437,Oklahoma,Hughes County,Donald Trump,REP,3875,TRUE,40063,OK,7184,6276,39,13460,46.62704309,35.04833713,-96.25026112,red,,,,,,,,,,,,,,,
11443,Oklahoma,Jackson County,Donald Trump,REP,6392,TRUE,40065,OK,12579,12805,34.2,25384,50.44516231,34.58797549,-99.41480703,red,,,,,,,,,,,,,,,
11449,Oklahoma,Jefferson County,Donald Trump,REP,2026,TRUE,40067,OK,3104,3119,41.9,6223,50.12052065,34.11103507,-97.83587287,red,,,,,,,,,,,,,,,
11455,Oklahoma,Johnston County,Donald Trump,REP,3441,TRUE,40069,OK,5458,5583,39.8,11041,50.56607191,34.31647681,-96.66066894,red,,,,,,,,,,,,,,,
11461,Oklahoma,Kay County,Donald Trump,REP,12834,TRUE,40071,OK,22275,22605,38.6,44880,50.36764706,36.81800197,-97.14395855,red,,,,,,,,,,,,,,,
11467,Oklahoma,Kingfisher County,Donald Trump,REP,5521,TRUE,40073,OK,7800,7818,36.2,15618,50.05762582,35.94539438,-97.94209346,red,,,,,,,,,,,,,,,
11473,Oklahoma,Kiowa County,Donald Trump,REP,2673,TRUE,40075,OK,4463,4538,43.1,9001,50.41662038,34.91635356,-98.98085578,red,,,,,,,,,,,,,,,
11479,Oklahoma,Latimer County,Donald Trump,REP,3437,TRUE,40077,OK,5312,5183,41.3,10495,49.38542163,34.87609208,-95.25039055,red,,,,,,,,,,,,,,,
11485,Oklahoma,Le Flore County,Donald Trump,REP,15213,TRUE,40079,OK,25067,24842,39.4,49909,49.77458975,34.90028739,-94.70341271,red,,,,,,,,,,,,,,,
11491,Oklahoma,Lincoln County,Donald Trump,REP,12013,TRUE,40081,OK,17326,17528,41.2,34854,50.28978023,35.70296411,-96.88091809,red,,,,,,,,,,,,,,,
11497,Oklahoma,Logan County,Donald Trump,REP,15608,TRUE,40083,OK,22846,23198,37.8,46044,50.38224307,35.91932613,-97.44330445,red,,,,,,,,,,,,,,,
11503,Oklahoma,Love County,Donald Trump,REP,3305,TRUE,40085,OK,4958,4975,40.1,9933,50.08557334,33.94988673,-97.24413092,red,,,,,,,,,,,,,,,
11509,Oklahoma,McClain County,Donald Trump,REP,15295,TRUE,40087,OK,19191,19443,38.4,38634,50.3261376,35.00933605,-97.44430464,red,,,,,,,,,,,,,,,
11515,Oklahoma,McCurtain County,Donald Trump,REP,9485,TRUE,40089,OK,16217,16749,38.8,32966,50.80689195,34.11540039,-94.77127654,red,,,,,,,,,,,,,,,
11521,Oklahoma,McIntosh County,Donald Trump,REP,6172,TRUE,40091,OK,9784,10035,47.3,19819,50.63323074,35.37366087,-95.66681809,red,,,,,,,,,,,,,,,
11527,Oklahoma,Major County,Donald Trump,REP,3084,TRUE,40093,OK,3795,3923,41.1,7718,50.82923037,36.31164359,-98.5359565,red,,,,,,,,,,,,,,,
11533,Oklahoma,Marshall County,Donald Trump,REP,4891,TRUE,40095,OK,8117,8259,42.6,16376,50.43356131,34.02444645,-96.76912862,red,,,,,,,,,,,,,,,
11539,Oklahoma,Mayes County,Donald Trump,REP,12749,TRUE,40097,OK,20435,20545,40.3,40980,50.13421181,36.3018662,-95.2308455,red,,,,,,,,,,,,,,,
11545,Oklahoma,Murray County,Donald Trump,REP,4612,TRUE,40099,OK,6954,6921,43,13875,49.88108108,34.48233391,-97.06790209,red,,,,,,,,,,,,,,,
11551,Oklahoma,Muskogee County,Donald Trump,REP,16526,TRUE,40101,OK,33709,35375,37.9,69084,51.20577847,35.61615094,-95.37959186,red,,,,,,,,,,,,,,,
11557,Oklahoma,Noble County,Donald Trump,REP,3821,TRUE,40103,OK,5625,5786,41.6,11411,50.70545964,36.38858848,-97.23050671,red,,,,,,,,,,,,,,,
11563,Oklahoma,Nowata County,Donald Trump,REP,3610,TRUE,40105,OK,5125,5258,42.3,10383,50.64047,36.79847581,-95.6173967,red,,,,,,,,,,,,,,,
11569,Oklahoma,Okfuskee County,Donald Trump,REP,3058,TRUE,40107,OK,6486,5629,40,12115,46.46306232,35.46545758,-96.32282583,red,,,,,,,,,,,,,,,
11575,Oklahoma,Oklahoma County,Donald Trump,REP,145050,TRUE,40109,OK,382760,399291,34.5,782051,51.05690038,35.55152282,-97.40720976,red,,,,,,,,,,,,,,,
11581,Oklahoma,Okmulgee County,Donald Trump,REP,9668,TRUE,40111,OK,19160,19729,39.1,38889,50.73156934,35.64666102,-95.96433944,red,,,,,,,,,,,,,,,
11587,Oklahoma,Osage County,Donald Trump,REP,14121,TRUE,40113,OK,23675,23636,42.1,47311,49.95878337,36.62917021,-96.39849961,red,,,,,,,,,,,,,,,
11593,Oklahoma,Ottawa County,Donald Trump,REP,8545,TRUE,40115,OK,15520,16046,38.1,31566,50.83317494,36.83552139,-94.81044687,red,,,,,,,,,,,,,,,
11599,Oklahoma,Pawnee County,Donald Trump,REP,5267,TRUE,40117,OK,8216,8212,41.9,16428,49.98782566,36.31691342,-96.6992995,red,,,,,,,,,,,,,,,
11605,Oklahoma,Payne County,Donald Trump,REP,17813,TRUE,40119,OK,41891,39621,27.1,81512,48.60756698,36.07730368,-96.97581188,red,,,,,,,,,,,,,,,
11611,Oklahoma,Pittsburg County,Donald Trump,REP,13851,TRUE,40121,OK,22583,21799,40.6,44382,49.11675905,34.92393379,-95.74836557,red,,,,,,,,,,,,,,,
11617,Oklahoma,Pontotoc County,Donald Trump,REP,10805,TRUE,40123,OK,18768,19590,35.6,38358,51.07148444,34.7280022,-96.68445231,red,,,,,,,,,,,,,,,
11623,Oklahoma,Pottawatomie County,Donald Trump,REP,20240,TRUE,40125,OK,34410,37590,37.5,72000,52.20833333,35.20669944,-96.94833692,red,,,,,,,,,,,,,,,
11629,Oklahoma,Pushmataha County,Donald Trump,REP,4016,TRUE,40127,OK,5439,5680,44.6,11119,51.08373055,34.41621545,-95.37579821,red,,,,,,,,,,,,,,,
11635,Oklahoma,Roger Mills County,Donald Trump,REP,1629,TRUE,40129,OK,1814,1894,40.5,3708,51.07874865,35.68834006,-99.69576678,red,,,,,,,,,,,,,,,
11641,Oklahoma,Rogers County,Donald Trump,REP,34031,TRUE,40131,OK,45246,45568,39,90814,50.17728544,36.37157301,-95.60435912,red,,,,,,,,,,,,,,,
11647,Oklahoma,Seminole County,Donald Trump,REP,6011,TRUE,40133,OK,12278,12793,39.2,25071,51.02708308,35.16748504,-96.61552019,red,,,,,,,,,,,,,,,
11653,Oklahoma,Sequoyah County,Donald Trump,REP,12113,TRUE,40135,OK,20382,20977,41,41359,50.7193114,35.49534179,-94.75520351,red,,,,,,,,,,,,,,,
11659,Oklahoma,Stephens County,Donald Trump,REP,15560,TRUE,40137,OK,21328,22655,40.5,43983,51.50853739,34.48560274,-97.85148139,red,,,,,,,,,,,,,,,
11665,Oklahoma,Texas County,Donald Trump,REP,4505,TRUE,40139,OK,11313,9808,32.1,21121,46.43719521,36.74789445,-101.4900522,red,,,,,,,,,,,,,,,
11671,Oklahoma,Tillman County,Donald Trump,REP,2076,TRUE,40141,OK,3860,3655,41.2,7515,48.63606121,34.37283706,-98.92421126,red,,,,,,,,,,,,,,,
11677,Oklahoma,Tulsa County,Donald Trump,REP,150574,TRUE,40143,OK,313659,329122,35.5,642781,51.20282025,36.12108603,-95.94146841,red,,,,,,,,,,,,,,,
11683,Oklahoma,Wagoner County,Donald Trump,REP,26165,TRUE,40145,OK,38525,39325,38.7,77850,50.51380861,35.96108921,-95.52118349,red,,,,,,,,,,,,,,,
11689,Oklahoma,Washington County,Donald Trump,REP,17076,TRUE,40147,OK,25253,26748,40.2,52001,51.43747236,36.71523618,-95.90436047,red,,,,,,,,,,,,,,,
11695,Oklahoma,Washita County,Donald Trump,REP,4086,TRUE,40149,OK,5740,5692,38.9,11432,49.79006298,35.29037851,-98.99220959,red,,,,,,,,,,,,,,,
11701,Oklahoma,Woods County,Donald Trump,REP,2993,TRUE,40151,OK,4924,4203,33.9,9127,46.05018078,36.76694403,-98.86510187,red,,,,,,,,,,,,,,,
11707,Oklahoma,Woodward County,Donald Trump,REP,6611,TRUE,40153,OK,11122,9845,36.3,20967,46.9547384,36.42262179,-99.26501484,red,,,,,,,,,,,,,,,
11713,Oregon,Baker County,Donald Trump,REP,7352,TRUE,41001,OR,8232,7752,48.2,15984,48.4984985,44.70915274,-117.6753042,red,,,,,,,,,,,,,,,
11719,Oregon,Benton County,Joe Biden,DEM,35827,TRUE,41003,OR,45317,44463,32.9,89780,49.52439296,44.49178904,-123.4292806,blue,,,,,,,,,,,,,,,
11725,Oregon,Clackamas County,Joe Biden,DEM,139043,TRUE,41005,OR,199775,206013,41.4,405788,50.76862795,45.18803304,-122.2208636,blue,,,,,,,,,,,,,,,
11731,Oregon,Clatsop County,Joe Biden,DEM,12916,TRUE,41007,OR,19166,19396,43.9,38562,50.29822105,45.99510198,-123.6558357,blue,,,,,,,,,,,,,,,
11737,Oregon,Columbia County,Donald Trump,REP,17150,TRUE,41009,OR,25506,25345,43.3,50851,49.84169436,45.94378932,-123.0882977,red,,,,,,,,,,,,,,,
11743,Oregon,Coos County,Donald Trump,REP,21829,TRUE,41011,OR,31042,32266,48.5,63308,50.96670247,43.1742076,-124.0594242,red,,,,,,,,,,,,,,,
11749,Oregon,Crook County,Donald Trump,REP,11287,TRUE,41013,OR,10916,11421,47.8,22337,51.13041142,44.14219192,-120.3565941,red,,,,,,,,,,,,,,,
11755,Oregon,Curry County,Donald Trump,REP,8484,TRUE,41015,OR,11043,11464,56.1,22507,50.93526458,42.457637,-124.1567805,red,,,,,,,,,,,,,,,
11761,Oregon,Deschutes County,Joe Biden,DEM,65962,TRUE,41017,OR,89209,91431,42.3,180640,50.61503543,43.91503876,-121.2281018,blue,,,,,,,,,,,,,,,
11767,Oregon,Douglas County,Donald Trump,REP,43298,TRUE,41019,OR,53470,54853,47,108323,50.63836858,43.27968991,-123.1664605,red,,,,,,,,,,,,,,,
11773,Oregon,Gilliam County,Donald Trump,REP,834,TRUE,41021,OR,912,995,49.6,1907,52.17619297,45.37828399,-120.2107828,red,,,,,,,,,,,,,,,
11779,Oregon,Grant County,Donald Trump,REP,3545,TRUE,41023,OR,3631,3552,52.6,7183,49.45009049,44.49156164,-119.0073148,red,,,,,,,,,,,,,,,
11785,Oregon,Harney County,Donald Trump,REP,3475,TRUE,41025,OR,3657,3571,46.1,7228,49.40509131,43.06409853,-118.9679306,red,,,,,,,,,,,,,,,
11791,Oregon,Hood River County,Joe Biden,DEM,8764,TRUE,41027,OR,11528,11603,39.1,23131,50.1621201,45.51900469,-121.6510349,blue,,,,,,,,,,,,,,,
11797,Oregon,Jackson County,Donald Trump,REP,63869,TRUE,41029,OR,104458,109809,42.7,214267,51.24867572,42.43219221,-122.7284986,red,,,,,,,,,,,,,,,
11803,Oregon,Jefferson County,Donald Trump,REP,7189,TRUE,41031,OR,12010,11133,40.5,23143,48.10525861,44.62941424,-121.1762919,red,,,,,,,,,,,,,,,
11809,Oregon,Josephine County,Donald Trump,REP,31751,TRUE,41033,OR,41984,43497,47.5,85481,50.88499199,42.36547463,-123.5554762,red,,,,,,,,,,,,,,,
11815,Oregon,Klamath County,Donald Trump,REP,25308,TRUE,41035,OR,33142,33168,42.4,66310,50.01960489,42.68641069,-121.6501515,red,,,,,,,,,,,,,,,
11821,Oregon,Lake County,Donald Trump,REP,3470,TRUE,41037,OR,4192,3651,49.1,7843,46.55106464,42.79348531,-120.3873885,red,,,,,,,,,,,,,,,
11827,Oregon,Lane County,Joe Biden,DEM,134366,TRUE,41039,OR,181850,187032,39.4,368882,50.70239264,43.93881007,-122.8474847,blue,,,,,,,,,,,,,,,
11833,Oregon,Lincoln County,Joe Biden,DEM,17385,TRUE,41041,OR,23050,24831,51.3,47881,51.85981913,44.64197269,-123.8682412,blue,,,,,,,,,,,,,,,
11839,Oregon,Linn County,Donald Trump,REP,43486,TRUE,41043,OR,60623,62247,39.7,122870,50.66086107,44.48887722,-122.5349884,red,,,,,,,,,,,,,,,
11845,Oregon,Malheur County,Donald Trump,REP,8187,TRUE,41045,OR,16581,13850,35.9,30431,45.51279945,43.19341408,-117.62315,red,,,,,,,,,,,,,,,
11851,Oregon,Marion County,Joe Biden,DEM,80872,TRUE,41047,OR,167333,168220,36.4,335553,50.13216988,44.90331757,-122.5848977,blue,,,,,,,,,,,,,,,
11857,Oregon,Morrow County,Donald Trump,REP,3586,TRUE,41049,OR,5683,5532,38.4,11215,49.32679447,45.41893918,-119.5843617,red,,,,,,,,,,,,,,,
11863,Oregon,Multnomah County,Joe Biden,DEM,367249,TRUE,41051,OR,395653,402994,37,798647,50.45958978,45.546805,-122.4147504,blue,,,,,,,,,,,,,,,
11869,Oregon,Polk County,Donald Trump,REP,23732,TRUE,41053,OR,39563,41864,37.1,81427,51.412922,44.90353634,-123.4132172,red,,,,,,,,,,,,,,,
11875,Oregon,Sherman County,Donald Trump,REP,921,TRUE,41055,OR,871,734,51.5,1605,45.73208723,45.40523761,-120.6893634,red,,,,,,,,,,,,,,,
11881,Oregon,Tillamook County,Donald Trump,REP,8354,TRUE,41057,OR,13139,12937,48,26076,49.61267066,45.46370393,-123.7126734,red,,,,,,,,,,,,,,,
11887,Oregon,Umatilla County,Donald Trump,REP,21270,TRUE,41059,OR,40110,36788,36.3,76898,47.83999584,45.59191976,-118.7368456,red,,,,,,,,,,,,,,,
11893,Oregon,Union County,Donald Trump,REP,10298,TRUE,41061,OR,12911,13117,39.6,26028,50.39572768,45.31024619,-118.0087973,red,,,,,,,,,,,,,,,
11899,Oregon,Wallowa County,Donald Trump,REP,3404,TRUE,41063,OR,3402,3522,52.6,6924,50.86655113,45.57989149,-117.1810506,red,,,,,,,,,,,,,,,
11905,Oregon,Wasco County,Donald Trump,REP,7035,TRUE,41065,OR,12918,12948,40.9,25866,50.05799119,45.16000791,-121.1678425,red,,,,,,,,,,,,,,,
11911,Oregon,Washington County,Joe Biden,DEM,209940,TRUE,41067,OR,287522,294299,36.5,581821,50.58239562,45.56005545,-123.09838,blue,,,,,,,,,,,,,,,
11917,Oregon,Wheeler County,Donald Trump,REP,711,TRUE,41069,OR,728,698,58.7,1426,48.94810659,44.72599234,-120.0275045,red,,,,,,,,,,,,,,,
11923,Oregon,Yamhill County,Donald Trump,REP,29551,TRUE,41071,OR,51894,51926,38.1,103820,50.01541129,45.23262605,-123.308138,red,,,,,,,,,,,,,,,
11929,Pennsylvania,Adams County,Donald Trump,REP,37523,TRUE,42001,PA,50224,51799,43.6,102023,50.77188477,39.87149161,-77.21787532,red,,,,,,,,,,,,,,,
11933,Pennsylvania,Allegheny County,Joe Biden,DEM,430759,TRUE,42003,PA,591630,633931,40.8,1225561,51.72578109,40.46882294,-79.98119483,blue,,,,,,,,,,,,,,,
11937,Pennsylvania,Armstrong County,Donald Trump,REP,27489,TRUE,42005,PA,33003,33328,46.3,66331,50.24498349,40.81230228,-79.46452696,red,,,,,,,,,,,,,,,
11941,Pennsylvania,Beaver County,Donald Trump,REP,54759,TRUE,42007,PA,80949,85947,45.1,166896,51.49733966,40.68227518,-80.34928222,red,,,,,,,,,,,,,,,
11945,Pennsylvania,Bedford County,Donald Trump,REP,23025,TRUE,42009,PA,24200,24411,46.2,48611,50.21702907,40.0065466,-78.49029673,red,,,,,,,,,,,,,,,
11948,Pennsylvania,Berks County,Donald Trump,REP,109736,TRUE,42011,PA,204883,211759,39.9,416642,50.82516885,40.4163019,-75.92598091,red,,,,,,,,,,,,,,,
11952,Pennsylvania,Blair County,Donald Trump,REP,45306,TRUE,42013,PA,60619,63223,43.4,123842,51.05133961,40.48098864,-78.34861174,red,,,,,,,,,,,,,,,
11955,Pennsylvania,Bradford County,Donald Trump,REP,21600,TRUE,42015,PA,30206,31098,44.5,61304,50.72752186,41.78869707,-76.51538647,red,,,,,,,,,,,,,,,
11958,Pennsylvania,Bucks County,Joe Biden,DEM,204712,TRUE,42017,PA,307383,318987,43.8,626370,50.92628957,40.33696145,-75.10687581,blue,,,,,,,,,,,,,,,
11962,Pennsylvania,Butler County,Donald Trump,REP,74359,TRUE,42019,PA,92301,94265,43.2,186566,50.52635528,40.91172586,-79.91298415,red,,,,,,,,,,,,,,,
11965,Pennsylvania,Cambria County,Donald Trump,REP,48085,TRUE,42021,PA,66180,68370,45.1,134550,50.81382386,40.49527138,-78.71371931,red,,,,,,,,,,,,,,,
11969,Pennsylvania,Cameron County,Donald Trump,REP,1771,TRUE,42023,PA,2369,2317,52.2,4686,49.44515578,41.43672937,-78.2038804,red,,,,,,,,,,,,,,,
11972,Pennsylvania,Carbon County,Donald Trump,REP,21984,TRUE,42025,PA,31783,32148,46,63931,50.28546402,40.91817437,-75.70881656,red,,,,,,,,,,,,,,,
11975,Pennsylvania,Centre County,Joe Biden,DEM,40055,TRUE,42027,PA,84972,76471,31.7,161443,47.36718223,40.91932379,-77.81995718,blue,,,,,,,,,,,,,,,
11979,Pennsylvania,Chester County,Joe Biden,DEM,182372,TRUE,42029,PA,254746,262410,40.4,517156,50.74097564,39.97305906,-75.74844332,blue,,,,,,,,,,,,,,,
11983,Pennsylvania,Clarion County,Donald Trump,REP,14578,TRUE,42031,PA,18962,19865,41.2,38827,51.16285059,41.19239949,-79.42096732,red,,,,,,,,,,,,,,,
11987,Pennsylvania,Clearfield County,Donald Trump,REP,29203,TRUE,42033,PA,41905,38311,44.7,80216,47.75979854,41.00016622,-78.47414043,red,,,,,,,,,,,,,,,
11991,Pennsylvania,Clinton County,Donald Trump,REP,11902,TRUE,42035,PA,19278,19796,38.8,39074,50.66284486,41.23405214,-77.63814618,red,,,,,,,,,,,,,,,
11994,Pennsylvania,Columbia County,Donald Trump,REP,20098,TRUE,42037,PA,31910,34310,40.8,66220,51.81214135,41.04870056,-76.40519317,red,,,,,,,,,,,,,,,
11998,Pennsylvania,Crawford County,Donald Trump,REP,28559,TRUE,42039,PA,42194,43970,42.9,86164,51.03059282,41.68470618,-80.10624937,red,,,,,,,,,,,,,,,
12002,Pennsylvania,Cumberland County,Donald Trump,REP,77212,TRUE,42041,PA,122321,125112,40.5,247433,50.56399106,40.16362479,-77.26553168,red,,,,,,,,,,,,,,,
12005,Pennsylvania,Dauphin County,Joe Biden,DEM,78983,TRUE,42043,PA,132864,141651,39.8,274515,51.60045899,40.41545319,-76.77946038,blue,,,,,,,,,,,,,,,
12009,Pennsylvania,Delaware County,Joe Biden,DEM,206423,TRUE,42045,PA,271056,292471,39,563527,51.90008642,39.91669081,-75.39906782,blue,,,,,,,,,,,,,,,
12013,Pennsylvania,Elk County,Donald Trump,REP,12140,TRUE,42047,PA,15423,15185,46.9,30608,49.61121275,41.42523818,-78.64914534,red,,,,,,,,,,,,,,,
12016,Pennsylvania,Erie County,Joe Biden,DEM,68286,TRUE,42049,PA,136256,139716,39.4,275972,50.62687519,41.99259034,-80.03281626,blue,,,,,,,,,,,,,,,
12020,Pennsylvania,Fayette County,Donald Trump,REP,41227,TRUE,42051,PA,65327,66962,44.8,132289,50.61796521,39.91989346,-79.64733959,red,,,,,,,,,,,,,,,
12024,Pennsylvania,Forest County,Donald Trump,REP,1882,TRUE,42053,PA,5807,1544,40.4,7351,21.00394504,41.51299393,-79.23602158,red,,,,,,,,,,,,,,,
12027,Pennsylvania,Franklin County,Donald Trump,REP,57245,TRUE,42055,PA,75503,78248,41.4,153751,50.89267712,39.927404,-77.72128245,red,,,,,,,,,,,,,,,
12031,Pennsylvania,Fulton County,Donald Trump,REP,6824,TRUE,42057,PA,7360,7146,45,14506,49.26237419,39.92535653,-78.11268553,red,,,,,,,,,,,,,,,
12035,Pennsylvania,Greene County,Donald Trump,REP,12579,TRUE,42059,PA,19304,17840,42,37144,48.02929141,39.85383496,-80.22292248,red,,,,,,,,,,,,,,,
12038,Pennsylvania,Huntingdon County,Donald Trump,REP,17061,TRUE,42061,PA,24052,21369,43.5,45421,47.04652033,40.41695423,-77.98120761,red,,,,,,,,,,,,,,,
12042,Pennsylvania,Indiana County,Donald Trump,REP,28089,TRUE,42063,PA,42835,42920,39.8,85755,50.04955979,40.65207102,-79.08754514,red,,,,,,,,,,,,,,,
12046,Pennsylvania,Jefferson County,Donald Trump,REP,17960,TRUE,42065,PA,21887,22197,43.9,44084,50.35160149,41.12815865,-78.99943527,red,,,,,,,,,,,,,,,
12049,Pennsylvania,Juniata County,Donald Trump,REP,9649,TRUE,42067,PA,12238,12324,42.7,24562,50.17506718,40.5310531,-77.40217996,red,,,,,,,,,,,,,,,
12052,Pennsylvania,Lackawanna County,Joe Biden,DEM,61991,TRUE,42069,PA,102480,108974,42.3,211454,51.53555856,41.43681894,-75.60920994,blue,,,,,,,,,,,,,,,
12056,Pennsylvania,Lancaster County,Donald Trump,REP,160209,TRUE,42071,PA,263680,274667,38.6,538347,51.02043849,40.04243434,-76.24772861,red,,,,,,,,,,,,,,,
12060,Pennsylvania,Lawrence County,Donald Trump,REP,29597,TRUE,42073,PA,42321,45061,45.1,87382,51.56782861,40.99124715,-80.33422809,red,,,,,,,,,,,,,,,
12064,Pennsylvania,Lebanon County,Donald Trump,REP,46731,TRUE,42075,PA,67999,70675,41.2,138674,50.96485282,40.36722643,-76.45771025,red,,,,,,,,,,,,,,,
12068,Pennsylvania,Lehigh County,Joe Biden,DEM,98288,TRUE,42077,PA,177051,185562,39.2,362613,51.17356521,40.61270161,-75.59232908,blue,,,,,,,,,,,,,,,
12072,Pennsylvania,Luzerne County,Donald Trump,REP,86929,TRUE,42079,PA,156972,160912,43,317884,50.61972292,41.17702013,-75.9890141,red,,,,,,,,,,,,,,,
12076,Pennsylvania,Lycoming County,Donald Trump,REP,41462,TRUE,42081,PA,56457,58402,41.4,114859,50.84669029,41.3434018,-77.0645311,red,,,,,,,,,,,,,,,
12079,Pennsylvania,McKean County,Donald Trump,REP,14083,TRUE,42083,PA,21531,20275,42.9,41806,48.49782328,41.80769828,-78.56904735,red,,,,,,,,,,,,,,,
12082,Pennsylvania,Mercer County,Donald Trump,REP,36143,TRUE,42085,PA,55546,57084,44.6,112630,50.68276658,41.30218692,-80.25768117,red,,,,,,,,,,,,,,,
12085,Pennsylvania,Mifflin County,Donald Trump,REP,16670,TRUE,42087,PA,22744,23618,43.8,46362,50.94258229,40.61042365,-77.61703355,red,,,,,,,,,,,,,,,
12088,Pennsylvania,Monroe County,Joe Biden,DEM,44060,TRUE,42089,PA,82895,84691,42.8,167586,50.53584428,41.05805568,-75.33952264,blue,,,,,,,,,,,,,,,
12092,Pennsylvania,Montgomery County,Joe Biden,DEM,319511,TRUE,42091,PA,399358,421943,41.3,821301,51.37495267,40.21081846,-75.36727894,blue,,,,,,,,,,,,,,,
12095,Pennsylvania,Montour County,Donald Trump,REP,5844,TRUE,42093,PA,8846,9448,43,18294,51.6453482,41.02786679,-76.65858584,red,,,,,,,,,,,,,,,
12099,Pennsylvania,Northampton County,Joe Biden,DEM,85087,TRUE,42095,PA,148366,153412,42.1,301778,50.83604504,40.75417394,-75.30755965,blue,,,,,,,,,,,,,,,
12103,Pennsylvania,Northumberland County,Donald Trump,REP,28952,TRUE,42097,PA,46545,45780,44.4,92325,49.58570268,40.85202998,-76.70934449,red,,,,,,,,,,,,,,,
12107,Pennsylvania,Perry County,Donald Trump,REP,18293,TRUE,42099,PA,23184,22740,43,45924,49.51659263,40.39839537,-77.26230916,red,,,,,,,,,,,,,,,
12110,Pennsylvania,Philadelphia County,Joe Biden,DEM,603790,TRUE,42101,PA,745543,829979,34.3,1575522,52.67961983,40.00766686,-75.13389862,blue,,,,,,,,,,,,,,,
12114,Pennsylvania,Pike County,Donald Trump,REP,19213,TRUE,42103,PA,28072,27426,47.7,55498,49.41799704,41.33199215,-75.03383326,red,,,,,,,,,,,,,,,
