,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color
15645,Washington,Pierce County,Joe Biden,DEM,249506,True,53053,WA,427571,432269,36.1,859840,50.2731903609974,47.02409030111075,-122.10455702303624,blue
15652,Washington,San Juan County,Joe Biden,DEM,9725,True,53055,WA,7956,8517,56.1,16473,51.702786377708975,48.57819131372923,-122.96496943944491,blue
15659,Washington,Skagit County,Joe Biden,DEM,38252,True,53057,WA,61376,62531,41.5,123907,50.46607536297384,48.479371228428434,-121.73018029479626,blue
15666,Washington,Skamania County,Donald Trump,REP,3885,True,53059,WA,5861,5759,46.3,11620,49.56110154905336,46.023036082025456,-121.91474377164604,red
15673,Washington,Snohomish County,Joe Biden,DEM,256728,True,53061,WA,394526,392094,37.8,786620,49.84541455849076,48.04747503840465,-121.6974941037326,blue
15680,Washington,Spokane County,Donald Trump,REP,148576,True,53063,WA,246906,250969,37.5,497875,50.40803414511674,47.62066276224317,-117.40403497433944,red
15687,Washington,Stevens County,Donald Trump,REP,19808,True,53065,WA,21944,22270,46.6,44214,50.36866150992898,48.399099823819896,-117.85516055896076,red
15694,Washington,Thurston County,Joe Biden,DEM,96608,True,53067,WA,134402,140282,39.0,274684,51.070320804997735,46.92577200112664,-122.83318614508308,blue
15701,Washington,Wahkiakum County,Donald Trump,REP,1741,True,53069,WA,2000,2189,54.3,4189,52.25590833134399,46.291769177581735,-123.4244201629912,red
15708,Washington,Walla Walla County,Donald Trump,REP,16400,True,53071,WA,30830,29406,37.1,60236,48.81798260176639,46.229773161892645,-118.47844046947476,red
15715,Washington,Whatcom County,Joe Biden,DEM,83660,True,53073,WA,107228,109584,37.0,216812,50.54332786008155,48.82590864879129,-121.71989204810522,blue
15722,Washington,Whitman County,Joe Biden,DEM,11184,True,53075,WA,24749,23844,24.6,48593,49.06879591710741,46.90117314410582,-117.52302705068216,blue
15729,Washington,Yakima County,Donald Trump,REP,50555,True,53077,WA,124900,124425,32.8,249325,49.904742805575054,46.45706868078073,-120.73845626087387,red
15736,West Virginia,Barbour County,Donald Trump,REP,5116,True,54001,WV,8143,8587,41.7,16730,51.32695756126719,39.13295009170189,-80.00301852047677,red
15740,West Virginia,Berkeley County,Donald Trump,REP,33279,True,54003,WV,56013,57482,38.8,113495,50.64716507335125,39.464065755093166,-78.02751272648277,red
15744,West Virginia,Boone County,Donald Trump,REP,6816,True,54005,WV,11350,11467,42.7,22817,50.25638778104046,38.022989723255286,-81.71120723636894,red
15749,West Virginia,Braxton County,Donald Trump,REP,4120,True,54007,WV,7125,7157,45.2,14282,50.112029127573166,38.69985460218355,-80.71925218802424,red
15753,West Virginia,Brooke County,Donald Trump,REP,7545,True,54009,WV,11171,11601,46.2,22772,50.94414192868435,40.273868865754366,-80.5764521299657,red
15757,West Virginia,Cabell County,Donald Trump,REP,21721,True,54011,WV,46739,48579,38.5,95318,50.965190205417656,38.42030494746309,-82.24171158128885,red
15761,West Virginia,Calhoun County,Donald Trump,REP,2364,True,54013,WV,3642,3754,47.6,7396,50.757166035694965,38.8445322663823,-81.11757809765486,red
15765,West Virginia,Clay County,Donald Trump,REP,2679,True,54015,WV,4388,4397,43.9,8785,50.05122367672169,38.46252309580102,-81.07507420084185,red
15769,West Virginia,Doddridge County,Donald Trump,REP,2619,True,54017,WV,4692,3844,45.1,8536,45.03280224929709,39.26917418647822,-80.7069715765704,red
15774,West Virginia,Fayette County,Donald Trump,REP,11580,True,54019,WV,22099,22027,43.8,44126,49.91841544667543,38.02877295360432,-81.08115811625693,red
