,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color
1012,Georgia,Quitman County,Donald Trump,REP,604,True,13239,GA,1081,1195,48.4,2276,52.50439367311072,31.867347385442194,-85.01877002581864,red
1016,Georgia,Rabun County,Donald Trump,REP,7474,True,13241,GA,8107,8350,48.8,16457,50.73828765874704,34.88173555762309,-83.40208021933655,red
1020,Georgia,Randolph County,Joe Biden,DEM,1671,True,13243,GA,3493,3594,40.0,7087,50.71257231550727,31.76265514822153,-84.7541886427644,blue
1024,Georgia,Richmond County,Joe Biden,DEM,59119,True,13245,GA,97272,104191,33.9,201463,51.71718876418995,33.359591951593146,-82.07350359720895,blue
1028,Georgia,Rockdale County,Joe Biden,DEM,31237,True,13247,GA,41944,47067,37.7,89011,52.877734212625406,33.65425070435243,-84.0265900693865,blue
1032,Georgia,Schley County,Donald Trump,REP,1800,True,13249,GA,2546,2665,37.8,5211,51.14181539052005,32.261662557368844,-84.31475698370534,red
1036,Georgia,Screven County,Donald Trump,REP,3915,True,13251,GA,6804,7186,41.5,13990,51.365260900643314,32.75060542525908,-81.61194170828179,red
1040,Georgia,Seminole County,Donald Trump,REP,2613,True,13253,GA,4027,4410,44.0,8437,52.26976413417091,30.93878565806053,-84.86883880876836,red
1044,Georgia,Spalding County,Donald Trump,REP,18104,True,13255,GA,31395,33324,39.1,64719,51.49028878690957,33.260886846415865,-84.28409469167887,red
1048,Georgia,Stephens County,Donald Trump,REP,9367,True,13257,GA,11765,13911,41.5,25676,54.17899984421249,34.55394199534727,-83.29347237703007,red
1052,Georgia,Stewart County,Joe Biden,DEM,1182,True,13259,GA,3894,2148,36.4,6042,35.55114200595829,32.07848971206861,-84.8352170484292,blue
1056,Georgia,Sumter County,Joe Biden,DEM,6314,True,13261,GA,14359,15993,35.5,30352,52.69175013178703,32.03994282224766,-84.19699391602437,blue
1060,Georgia,Talbot County,Joe Biden,DEM,2114,True,13263,GA,3032,3346,49.2,6378,52.46158670429602,32.69949851204999,-84.53300952425894,blue
1064,Georgia,Taliaferro County,Joe Biden,DEM,561,True,13265,GA,847,818,46.3,1665,49.129129129129126,33.56613476013978,-82.87877142234885,blue
1068,Georgia,Tattnall County,Donald Trump,REP,6054,True,13267,GA,14888,10465,37.4,25353,41.27716641028675,32.04579765483292,-82.05812943063302,red
1072,Georgia,Taylor County,Donald Trump,REP,2420,True,13269,GA,3946,4247,44.4,8193,51.83693396802149,32.55547640005065,-84.2504742814891,red
1076,Georgia,Telfair County,Donald Trump,REP,2825,True,13271,GA,9346,6769,41.0,16115,42.004343779087804,31.9298058701554,-82.93901137308181,red
1080,Georgia,Terrell County,Joe Biden,DEM,2376,True,13273,GA,4228,4631,40.9,8859,52.274523083869504,31.7769979123536,-84.43696997612308,blue
1084,Georgia,Thomas County,Donald Trump,REP,12969,True,13275,GA,21219,23511,40.3,44730,52.562038900067066,30.863763927045305,-83.9193277570933,red
1088,Georgia,Tift County,Donald Trump,REP,10784,True,13277,GA,19509,21001,35.5,40510,51.84152061219452,31.45742933036171,-83.52660087699132,red
1092,Georgia,Toombs County,Donald Trump,REP,7873,True,13279,GA,12491,14557,36.4,27048,53.81913635019225,32.12161158005105,-82.33121596075421,red
1096,Georgia,Towns County,Donald Trump,REP,6384,True,13281,GA,5334,6083,53.7,11417,53.28019619865113,34.916710683206986,-83.73730602696065,red
1100,Georgia,Treutlen County,Donald Trump,REP,2101,True,13283,GA,3573,3204,39.7,6777,47.277556440903055,32.403874795903945,-82.56728819880553,red
1104,Georgia,Troup County,Donald Trump,REP,18142,True,13285,GA,33387,36387,36.3,69774,52.14979791899561,33.033539628253294,-85.02836514828462,red
1108,Georgia,Turner County,Donald Trump,REP,2349,True,13287,GA,3843,4119,38.8,7962,51.73323285606632,31.71638191961585,-83.6240915796479,red
1112,Georgia,Twiggs County,Donald Trump,REP,2370,True,13289,GA,4068,4216,46.2,8284,50.89328826653791,32.66720049189172,-83.42707722438509,red
1116,Georgia,Union County,Donald Trump,REP,12650,True,13291,GA,11048,11727,53.9,22775,51.490669593852914,34.83408734987639,-83.99071662776927,red
1120,Georgia,Upson County,Donald Trump,REP,8606,True,13293,GA,12503,13713,41.7,26216,52.30775099176076,32.881274804687685,-84.29934917654765,red
1124,Georgia,Walker County,Donald Trump,REP,23173,True,13295,GA,34082,34742,41.4,68824,50.47948390096478,34.73564648783483,-85.30099086456465,red
1128,Georgia,Walton County,Donald Trump,REP,37839,True,13297,GA,43775,46357,38.7,90132,51.43234367372298,33.78155675435902,-83.73386980893855,red
1132,Georgia,Ware County,Donald Trump,REP,9903,True,13299,GA,17753,17846,38.4,35599,50.130621646675465,31.053788550656524,-82.42371808286023,red
1136,Georgia,Warren County,Joe Biden,DEM,1468,True,13301,GA,2475,2871,45.2,5346,53.70370370370371,33.408948174955924,-82.67675068794323,blue
1140,Georgia,Washington County,Joe Biden,DEM,4743,True,13303,GA,10361,10100,40.6,20461,49.36220126093544,32.96953472167585,-82.79593022594499,blue
1144,Georgia,Wayne County,Donald Trump,REP,9987,True,13305,GA,15051,14716,38.2,29767,49.43729633486747,31.551447524552763,-81.91672490842868,red
1148,Georgia,Webster County,Donald Trump,REP,748,True,13307,GA,1254,1359,45.0,2613,52.00918484500574,32.04664019353119,-84.55104518308963,red
1152,Georgia,Wheeler County,Donald Trump,REP,1583,True,13309,GA,5007,2932,38.2,7939,36.93160347650838,32.1170542401269,-82.72458014398126,red
1156,Georgia,White County,Donald Trump,REP,12222,True,13311,GA,14128,14800,46.1,28928,51.16150442477876,34.646410393624464,-83.74710566356966,red
1160,Georgia,Whitfield County,Donald Trump,REP,25644,True,13313,GA,51525,52324,36.0,103849,50.38469316026153,34.80561127358241,-84.96720773229018,red
1164,Georgia,Wilcox County,Donald Trump,REP,2402,True,13315,GA,5242,3604,39.5,8846,40.74157811440199,31.972897241156023,-83.43234537904169,red
1168,Georgia,Wilkes County,Donald Trump,REP,2823,True,13317,GA,4770,5114,46.1,9884,51.74018615944962,33.78194964640528,-82.74319597931739,red
1172,Georgia,Wilkinson County,Donald Trump,REP,2665,True,13319,GA,4349,4729,41.8,9078,52.09297202026878,32.80238192466023,-83.17123807562939,red
1176,Georgia,Worth County,Donald Trump,REP,6830,True,13321,GA,10040,10616,41.1,20656,51.39426800929512,31.551499844320897,-83.85089246342618,red
1180,Hawaii,Hawaii County,Joe Biden,DEM,58731,True,15001,HI,98276,99382,42.3,197658,50.27977617905675,19.598720832762474,-155.51849348203964,blue
1186,Hawaii,Honolulu County,Joe Biden,DEM,238869,True,15003,HI,497646,489992,37.6,987638,49.61250984672522,21.500785361340995,-158.10533417955455,blue
1192,Hawaii,Kauai County,Joe Biden,DEM,21225,True,15007,HI,35375,36002,42.4,71377,50.43921711475685,22.03962536798675,-159.59634878220444,blue
1198,Hawaii,Maui County,Joe Biden,DEM,47305,True,15009,HI,82437,82844,41.1,165281,50.12312365002632,20.85964011353776,-156.56484629546918,blue
1204,Idaho,Ada County,Donald Trump,REP,130699,True,16001,ID,223367,222685,36.7,446052,49.923551514173234,43.4510924135356,-116.2411608694026,red
1211,Idaho,Adams County,Donald Trump,REP,1941,True,16003,ID,2093,1926,54.2,4019,47.92236874844489,44.889593222254135,-116.45382543640274,red
1219,Idaho,Bannock County,Donald Trump,REP,23331,True,16005,ID,42300,42765,33.3,85065,50.2733204020455,42.66848736883945,-112.2246106315902,red
1226,Idaho,Bear Lake County,Donald Trump,REP,2914,True,16007,ID,2898,3064,39.3,5962,51.392150285139216,42.28478414560279,-111.3296870231912,red
1233,Idaho,Benewah County,Donald Trump,REP,3878,True,16009,ID,4607,4479,46.1,9086,49.29561963460268,47.21755258065864,-116.65870892318664,red
1240,Idaho,Bingham County,Donald Trump,REP,15295,True,16011,ID,22746,22805,33.5,45551,50.06476257381836,43.21655175084742,-112.39809334143744,red
1248,Idaho,Blaine County,Joe Biden,DEM,8919,True,16013,ID,11251,10743,43.2,21994,48.84513958352278,43.41194442285568,-113.9801748029922,blue
1256,Idaho,Boise County,Donald Trump,REP,3485,True,16015,ID,3780,3383,53.0,7163,47.22881474242636,43.98913016767068,-115.73036319079512,red
1264,Idaho,Bonner County,Donald Trump,REP,18369,True,16017,ID,21366,21345,47.8,42711,49.97541616913676,48.30004320072049,-116.60107557638288,red
1272,Idaho,Bonneville County,Donald Trump,REP,37805,True,16019,ID,56237,56160,32.7,112397,49.965746416719306,43.38773727219922,-111.61479126751084,red
1279,Idaho,Boundary County,Donald Trump,REP,4937,True,16021,ID,5735,5814,43.5,11549,50.34202095419517,48.766868569461685,-116.46287427634844,red
1287,Idaho,Butte County,Donald Trump,REP,1202,True,16023,ID,1342,1260,48.1,2602,48.42428900845504,43.7229121870266,-113.17206737202956,red
1294,Idaho,Camas County,Donald Trump,REP,507,True,16025,ID,433,453,46.3,886,51.12866817155757,43.46332936895208,-114.80576739792691,red
1302,Idaho,Canyon County,Donald Trump,REP,61759,True,16027,ID,104902,107328,33.4,212230,50.571549733779385,43.62513686554448,-116.7093125890369,red
1310,Idaho,Caribou County,Donald Trump,REP,2906,True,16029,ID,3543,3375,36.9,6918,48.78577623590633,42.77049662452163,-111.56225975044258,red
1317,Idaho,Cassia County,Donald Trump,REP,7907,True,16031,ID,12039,11576,32.2,23615,49.01969087444421,42.28388223476903,-113.60010075689284,red
1324,Idaho,Clark County,Donald Trump,REP,264,True,16033,ID,570,507,29.6,1077,47.07520891364902,44.2839184961641,-112.3512463932217,red
1332,Idaho,Clearwater County,Donald Trump,REP,3453,True,16035,ID,4790,3850,50.2,8640,44.56018518518518,46.67364381877157,-115.6566840809516,red
1339,Idaho,Custer County,Donald Trump,REP,2089,True,16037,ID,2165,1976,53.3,4141,47.71794252595991,44.24112590596943,-114.2817280975178,red
1346,Idaho,Elmore County,Donald Trump,REP,7246,True,16039,ID,13858,12575,31.9,26433,47.57310937086218,43.353955143058585,-115.46929719662232,red
1353,Idaho,Franklin County,Donald Trump,REP,5845,True,16041,ID,6787,6492,33.4,13279,48.88922358611341,42.1810993823498,-111.8131968139563,red
1361,Idaho,Fremont County,Donald Trump,REP,5548,True,16043,ID,6766,6199,36.8,12965,47.81334361743155,44.22879172803202,-111.48194033762113,red
1368,Idaho,Gem County,Donald Trump,REP,7951,True,16045,ID,8354,8698,45.1,17052,51.00867933380249,44.06154619190838,-116.39751661550372,red
1375,Idaho,Gooding County,Donald Trump,REP,4659,True,16047,ID,7911,7258,37.8,15169,47.84758388819302,42.97102592237642,-114.81153827830832,red
1382,Idaho,Idaho County,Donald Trump,REP,7826,True,16049,ID,8537,7800,50.0,16337,47.74438391381526,45.84406963114124,-115.46750875765208,red
1389,Idaho,Jefferson County,Donald Trump,REP,12099,True,16051,ID,14295,13674,31.2,27969,48.88984232543173,43.82015471609615,-112.31130823310612,red
1396,Idaho,Jerome County,Donald Trump,REP,5734,True,16053,ID,11801,11630,32.7,23431,49.63509880073407,42.689875957030544,-114.26392555344331,red
1403,Idaho,Kootenai County,Donald Trump,REP,62837,True,16055,ID,75890,77715,40.2,153605,50.59405618306696,47.67437462572388,-116.70182621419232,red
1411,Idaho,Latah County,Joe Biden,DEM,10236,True,16057,ID,19894,19345,28.3,39239,49.30044088789215,46.81617003676458,-116.71168186657472,blue
1418,Idaho,Lemhi County,Donald Trump,REP,3592,True,16059,ID,3948,3850,52.3,7798,49.371633752244165,44.9432557461301,-113.9332520150922,red
1426,Idaho,Lewis County,Donald Trump,REP,1489,True,16061,ID,1911,1934,48.3,3845,50.29908972691808,46.237000971122,-116.42631505924324,red
1433,Idaho,Lincoln County,Donald Trump,REP,1469,True,16063,ID,2766,2555,35.0,5321,48.01728998308589,43.00237269629252,-114.13827390348872,red
1440,Idaho,Madison County,Donald Trump,REP,13559,True,16065,ID,19529,19176,23.4,38705,49.54398656504328,43.78414736067104,-111.65923422083544,red
1447,Idaho,Minidoka County,Donald Trump,REP,6265,True,16067,ID,10377,10238,35.2,20615,49.66286684453068,42.85429247244846,-113.63747008364714,red
1454,Idaho,Nez Perce County,Donald Trump,REP,13738,True,16069,ID,19758,20397,40.9,40155,50.79566679118416,46.326815531052326,-116.75024312060062,red
1461,Idaho,Oneida County,Donald Trump,REP,2148,True,16071,ID,2083,2243,37.9,4326,51.84928340268146,42.1949744051421,-112.53936630028448,red
1468,Idaho,Owyhee County,Donald Trump,REP,3819,True,16073,ID,5874,5581,38.4,11455,48.72108249672632,42.58149963776419,-116.16991543684432,red
1475,Idaho,Payette County,Donald Trump,REP,8862,True,16075,ID,11470,11571,39.9,23041,50.21917451499501,44.00675700258795,-116.760821112899,red
1482,Idaho,Power County,Donald Trump,REP,2116,True,16077,ID,3781,3932,37.7,7713,50.97886684817839,42.693644414612734,-112.84066931679524,red
1490,Idaho,Shoshone County,Donald Trump,REP,4216,True,16079,ID,6267,6259,47.4,12526,49.968066421842565,47.352940813146894,-115.89236293560565,red
1497,Idaho,Teton County,Joe Biden,DEM,3318,True,16081,ID,5887,5193,36.6,11080,46.868231046931406,43.75944550159856,-111.20762183167244,blue
1504,Idaho,Twin Falls County,Donald Trump,REP,25897,True,16083,ID,41204,42462,34.7,83666,50.75179881911409,42.35596961880623,-114.66715073308558,red
1512,Idaho,Valley County,Donald Trump,REP,3947,True,16085,ID,5486,4915,48.7,10401,47.2550716277281,44.76660705705652,-115.56633740420315,red
1519,Idaho,Washington County,Donald Trump,REP,4154,True,16087,ID,4966,5059,45.4,10025,50.46384039900249,44.452423819640416,-116.78473628222136,red
1527,Illinois,Adams County,Donald Trump,REP,24220,True,17001,IL,32481,33946,41.3,66427,51.10271425775663,39.98787833459664,-91.18855698686085,red
1534,Illinois,Alexander County,Donald Trump,REP,1486,True,17003,IL,3104,3428,42.8,6532,52.48009797917943,37.191519120097794,-89.33756197374385,red
1541,Illinois,Bond County,Donald Trump,REP,5625,True,17005,IL,8587,8125,41.3,16712,48.61775969363332,38.88683305359005,-89.43554636928486,red
1548,Illinois,Boone County,Donald Trump,REP,13883,True,17007,IL,26830,26776,38.4,53606,49.9496325038242,42.32307877435641,-88.82338302966701,red
1555,Illinois,Brown County,Donald Trump,REP,1931,True,17009,IL,4238,2437,39.0,6675,36.50936329588015,39.961810519701096,-90.75041255823078,red
1562,Illinois,Bureau County,Donald Trump,REP,10411,True,17011,IL,16437,16944,44.0,33381,50.759414037925765,41.40412582926175,-89.52866709484049,red
1569,Illinois,Calhoun County,Donald Trump,REP,2046,True,17013,IL,2435,2423,46.7,4858,49.876492383697,39.16924303428719,-90.66753073520552,red
1576,Illinois,Carroll County,Donald Trump,REP,5105,True,17015,IL,7229,7333,47.9,14562,50.35709380579591,42.06868734214896,-89.93439024723124,red
1583,Illinois,Cass County,Donald Trump,REP,3625,True,17017,IL,6353,6312,39.7,12665,49.83813659692065,39.97354523915264,-90.24740080483882,red
1590,Illinois,Champaign County,Joe Biden,DEM,57067,True,17019,IL,104513,104935,29.9,209448,50.10074099537832,40.14009650770477,-88.19916000746896,blue
1597,Illinois,Christian County,Donald Trump,REP,11563,True,17021,IL,16818,16413,43.2,33231,49.39062923174144,39.54583198530187,-89.2772528468795,red
1604,Illinois,Clark County,Donald Trump,REP,6226,True,17023,IL,7824,8012,43.0,15836,50.59358423844406,39.33359041234609,-87.78771905509868,red
1611,Illinois,Clay County,Donald Trump,REP,5629,True,17025,IL,6586,6752,42.7,13338,50.62228220122957,38.754160393019816,-88.49022976602164,red
1618,Illinois,Clinton County,Donald Trump,REP,14304,True,17027,IL,19551,18077,40.2,37628,48.04135218454342,38.60645250760866,-89.42248618066246,red
1625,Illinois,Coles County,Donald Trump,REP,14037,True,17029,IL,24999,26737,35.2,51736,51.67968145971857,39.52027962074658,-88.22179644067498,red
1632,Illinois,Cook County,Joe Biden,DEM,1725973,True,17031,IL,2534640,2689079,36.6,5223719,51.47824758567603,41.84012633109752,-87.8168306216394,blue
1639,Illinois,Crawford County,Donald Trump,REP,7043,True,17033,IL,9910,9178,42.0,19088,48.08256496227997,39.00269711288796,-87.7595614069562,red
1646,Illinois,Cumberland County,Donald Trump,REP,4601,True,17035,IL,5455,5410,42.6,10865,49.79291302346986,39.273341866330895,-88.24018523334577,red
1653,Illinois,DeKalb County,Joe Biden,DEM,24643,True,17037,IL,51580,52620,31.0,104200,50.49904030710173,41.8935293758552,-88.77031406180186,blue
1660,Illinois,De Witt County,Donald Trump,REP,5632,True,17039,IL,8015,8027,43.1,16042,50.03740182022192,40.17461502485114,-88.90407554578636,red
1667,Illinois,Douglas County,Donald Trump,REP,6227,True,17041,IL,9748,9966,37.9,19714,50.552906563863246,39.76945694039876,-88.21737066595287,red
1674,Illinois,DuPage County,Joe Biden,DEM,281222,True,17043,IL,457178,474565,39.1,931743,50.9330362557057,41.85195267810277,-88.08559582772857,blue
1681,Illinois,Edgar County,Donald Trump,REP,6193,True,17045,IL,8617,8922,44.6,17539,50.86949084896516,39.678551888750505,-87.7455924670323,red
1688,Illinois,Edwards County,Donald Trump,REP,2833,True,17047,IL,3231,3276,43.3,6507,50.345781466113415,38.41654373105808,-88.05327845497358,red
1695,Illinois,Effingham County,Donald Trump,REP,15006,True,17049,IL,16971,17203,39.1,34174,50.339439339849015,39.05979760561169,-88.58986009711442,red
1702,Illinois,Fayette County,Donald Trump,REP,8055,True,17051,IL,11580,10144,41.5,21724,46.69489965015651,39.00018312262058,-89.02413055392712,red
1709,Illinois,Ford County,Donald Trump,REP,5048,True,17053,IL,6616,6782,43.0,13398,50.61949544708165,40.59716807101521,-88.2232955118473,red
1716,Illinois,Franklin County,Donald Trump,REP,13622,True,17055,IL,19285,19842,42.3,39127,50.711784701101536,37.9922777854251,-88.92413725856049,red
1723,Illinois,Fulton County,Donald Trump,REP,9867,True,17057,IL,18496,16922,43.0,35418,47.77796600598565,40.47278780200852,-90.20746962998112,red
1730,Illinois,Gallatin County,Donald Trump,REP,2019,True,17059,IL,2472,2685,45.3,5157,52.065154159395,37.76274363969468,-88.23044404237568,red
1737,Illinois,Greene County,Donald Trump,REP,4770,True,17061,IL,6668,6550,42.9,13218,49.55363897715237,39.35621702657206,-90.39046153076008,red
1744,Illinois,Grundy County,Donald Trump,REP,16523,True,17063,IL,25241,25268,37.6,50509,50.02672790987744,41.28511111938728,-88.41846873638005,red
